Stock_Number,Sale_Date,Inventory_Date,Make,Model,Year,Mileage,Store_Name,Stock_Type,Price,Front_Gross,Back_Gross
T4162643,1/11/2020,12/21/2019,KIA,SEDONA,2020,65469,Riverside Kia,Used,16787.31,2119.19,0
K4281633,1/11/2020,12/17/2019,KIA,SOUL,2020,5000,Riverside Kia,Used,8558,575.02,615.49
L4035916,1/10/2020,10/29/2019,HYUNDAI,SONA,2020,54328,Riverside Kia,Used,8946.53,-179.3,0
K5839248,1/9/2020,11/9/2019,KIA,OPTIMA,2020,43305,Riverside Kia,Used,15564.56,-1856.34,882.08
T2310266,1/4/2020,12/12/2019,KIA,SPORK,2020,37514,Riverside Kia,Used,11616.44,288.09,1664.52
M4856091,1/3/2020,10/22/2019,VOLVO,S60,2020,43376,Riverside Kia,Used,18582.46,-91.18,0
K4286719,1/2/2020,11/15/2019,MAZDA,CX5,2020,12186,Riverside Kia,Used,10305.76,530.01,0
K8194635,1/1/2020,11/25/2019,KIA,FORTE,2020,38704,Riverside Kia,Used,10126.15,377.36,67
K9709404,1/1/2020,11/17/2019,TOYOTA,RAV4,2020,49,Riverside Toyota,New,31276.63,-752.14,1596.19
K9959134,1/1/2020,10/30/2019,TOYOTA,HIGHLN,2020,56,Riverside Toyota,New,37796.63,491.04,3014
L2930044,1/31/2020,12/9/2019,TOYOTA,COROL,2020,34225,Riverside Toyota,Used,14499,28.71,2634.1
K9520253,1/31/2020,1/2/2020,TOYOTA,RAV4,2020,29872,Riverside Toyota,Used,25799,268.56,0
L1569951,1/31/2020,12/7/2019,TOYOTA,COROL,2020,34473,Riverside Toyota,Used,5449,88.56,0
L5600387,1/31/2020,12/29/2019,TOYOTA,RAV4,2020,55731,Riverside Toyota,Used,7377.21,2326.39,51
K5067452,1/31/2020,12/12/2019,TOYOTA,AVAL,2020,46931,Riverside Toyota,Used,33100,-250,1638.5
L2593298,1/31/2020,11/25/2019,TOYOTA,COROL,2020,34053,Riverside Toyota,Used,13493.72,-980.62,0
S5920895,1/30/2020,12/27/2019,TOYOTA,RAV4,2020,49699,Riverside Toyota,Used,12717.99,1859.71,0
L1893570,1/30/2020,1/3/2020,TOYOTA,RAV4,2020,43456,Riverside Toyota,Used,22037.41,-59.93,0
L3415564,1/30/2020,12/28/2019,TOYOTA,CAMR,2020,56529,Riverside Toyota,Used,14091.29,1033.88,0
S3158613,1/30/2020,12/19/2019,TOYOTA,COROL,2020,31469,Riverside Toyota,Used,14399,-1.34,3329.33
N2153604,1/30/2020,12/2/2019,TOYOTA,CAMR,2020,37085,Riverside Toyota,Used,18153.91,-817.58,0
L9201582,1/29/2020,12/20/2019,DODGE,CHARO,2020,36118,Riverside Toyota,Used,8356,-2806.76,0
N4726897,1/29/2020,12/25/2019,CHEVROLET,SILV15,2020,20047,Riverside Toyota,Used,17493.76,-799.87,0
T1900353,1/29/2020,11/26/2019,TOYOTA,RAV4,2020,46441,Riverside Toyota,Used,20095.66,-616.63,0
L1324791,1/29/2020,12/23/2019,TOYOTA,CAMHYB,2020,45915,Riverside Toyota,Used,25399,2785.21,2311.75
K7433315,1/29/2020,11/24/2019,TOYOTA,COROL,2020,42076,Riverside Toyota,Used,16699,605.86,4434
T9820887,1/28/2020,11/17/2019,CHEVROLET,CRUZE,2020,38481,Riverside Toyota,Used,5920.9,2269.56,0
K6606999,1/28/2020,12/16/2019,FORD,F250,2020,20769,Riverside Toyota,Used,24900,-405.6,2523.41
L8613848,1/28/2020,12/14/2019,JEEP,GRANC,2020,35690,Riverside Toyota,Used,13056.84,307.97,146.04
M1073694,1/28/2020,12/15/2019,TOYOTA,RAV4,2020,36859,Riverside Toyota,Used,30991,-180,750
K4210986,1/28/2020,11/25/2019,CHEVROLET,SILV15,2020,29965,Riverside Toyota,Used,11799,2159.12,0
N2280607,1/28/2020,11/29/2019,TOYOTA,TACO,2020,39580,Riverside Toyota,Used,29192.75,443.86,1281
N5800556,1/28/2020,12/11/2019,TOYOTA,AVAL,2020,48060,Riverside Toyota,Used,20499,352,1388
K2012985,1/27/2020,12/24/2019,TOYOTA,RAV4,2020,70292,Riverside Toyota,Used,19647.12,1745.78,2189
L6116589,1/27/2020,11/24/2019,TOYOTA,COROL,2020,44618,Riverside Toyota,Used,16212.16,-1535.91,760
S4811704,1/27/2020,1/7/2020,TOYOTA,CAMR,2020,45863,Riverside Toyota,Used,13396.63,995.24,247.86
S8389373,1/26/2020,12/13/2019,TOYOTA,RAV4HY,2020,40883,Riverside Toyota,Used,27499,2228.61,1500
L8114155,1/26/2020,12/31/2019,TOYOTA,COROL,2020,13218,Riverside Toyota,Used,16699,602.36,3027.12
L1163788,1/26/2020,12/29/2019,TOYOTA,HIGHHY,2020,41602,Riverside Toyota,Used,11500,2122.29,322.57
K6932566,1/26/2020,12/14/2019,TOYOTA,RAV4,2020,42903,Riverside Toyota,Used,13784.98,390.96,0
S4886943,1/25/2020,1/5/2020,TOYOTA,CAMR,2020,78948,Riverside Toyota,Used,15799,315.51,0
N7903114,1/25/2020,11/23/2019,FORD,FOCUS,2020,39114,Riverside Toyota,Used,5991,-250,0
N3252831,1/25/2020,12/29/2019,TOYOTA,4RUN,2020,46523,Riverside Toyota,Used,20399,1633.36,1458.52
M3583943,1/25/2020,12/13/2019,TOYOTA,RAV4,2020,41479,Riverside Toyota,Used,6829.1,2723.84,0
K2229233,1/25/2020,12/26/2019,GMC,SIER25,2020,24469,Riverside Toyota,Used,29999,-1373.48,1822.6
L2989810,1/25/2020,11/16/2019,TOYOTA,CAMR,2020,59142,Riverside Toyota,Used,18198,401.71,3505.25
S6456772,1/25/2020,12/20/2019,TOYOTA,LANT,2020,53278,Riverside Toyota,Used,47399,4559.6,1005.12
N1130510,1/25/2020,12/29/2019,TOYOTA,4RUN,2020,53865,Riverside Toyota,Used,34499,3313.89,1729
T6409250,1/25/2020,12/2/2019,TOYOTA,COROL,2020,28359,Riverside Toyota,Used,13271,-1220.29,1590.88
S4383673,1/25/2020,12/2/2019,KIA,NIRO,2020,63041,Riverside Toyota,Used,16462.17,426.73,1026
S1692958,1/25/2020,12/4/2019,TOYOTA,COROL,2020,20972,Riverside Toyota,Used,16999,1865.01,1781.45
T5726414,1/25/2020,1/1/2020,TOYOTA,CAMR,2020,50802,Riverside Toyota,Used,18600,-567.02,1244
S7165394,1/24/2020,11/24/2019,TOYOTA,TACO,2020,74856,Riverside Toyota,Used,13032,850.47,3.36
K5764571,1/24/2020,11/27/2019,TOYOTA,COROL,2020,27141,Riverside Toyota,Used,16999,1402.51,2179.83
L7621412,1/24/2020,11/25/2019,TOYOTA,COROL,2020,33505,Riverside Toyota,Used,16999,-3167.65,2421
T6269663,1/24/2020,12/8/2019,NISSAN,ALTIMA,2020,43494,Riverside Toyota,Used,5149,53.47,0
N9765373,1/24/2020,12/29/2019,JEEP,GRANC,2020,34447,Riverside Toyota,Used,27877.21,-158.01,0
M8239118,1/24/2020,12/27/2019,HYUNDAI,GENES,2020,18740,Riverside Toyota,Used,10144.2,1014.32,0
M5409866,1/24/2020,12/28/2019,TOYOTA,CAMHYB,2020,43028,Riverside Toyota,Used,22900,-196.64,0
M8735397,1/24/2020,12/24/2019,TOYOTA,4RUN,2020,26065,Riverside Toyota,Used,37399,2862.91,0
T6945284,1/24/2020,12/2/2019,NISSAN,ROGUE,2020,49103,Riverside Toyota,Used,6032.55,-652.64,0
L7456125,1/24/2020,12/3/2019,CHEVROLET,CAMAC,2020,28208,Riverside Toyota,Used,13105.37,1213.91,0
M8483044,1/24/2020,11/18/2019,HONDA,ACCO,2020,65249,Riverside Toyota,Used,2163.62,-516.38,0
T2945510,1/24/2020,11/11/2019,TOYOTA,CAMR,2020,30251,Riverside Toyota,Used,19610.22,-243.75,0
N8404080,1/24/2020,12/13/2019,TOYOTA,COROL,2020,37169,Riverside Toyota,Used,12814.11,-1185.28,0
M5959957,1/23/2020,12/11/2019,LEXUS,LS430,2020,54202,Riverside Toyota,Used,7474.3,218.53,0
S7733095,1/23/2020,11/28/2019,FORD,FOCUS,2020,23537,Riverside Toyota,Used,5632.98,499.37,0
T9564333,1/23/2020,11/30/2019,TOYOTA,4RUN,2020,45411,Riverside Toyota,Used,22037.41,402.37,0
M6697110,1/23/2020,11/21/2019,TOYOTA,CAMHYB,2020,61607,Riverside Toyota,Used,24899,1702.36,0
M9683072,1/23/2020,11/25/2019,TOYOTA,AVAL,2020,17887,Riverside Toyota,Used,29821,-1533.79,0
M5751991,1/23/2020,12/13/2019,TOYOTA,HIGHLN,2020,44769,Riverside Toyota,Used,20999,2569.89,0
T2835372,1/23/2020,12/8/2019,MAZDA,CX5,2020,45898,Riverside Toyota,Used,12999,1792.11,636.6
L6048811,1/22/2020,11/29/2019,GMC,SIER25,2020,53727,Riverside Toyota,Used,21200,1079.17,0
L4370161,1/22/2020,1/2/2020,FORD,ESCAHE,2020,23445,Riverside Toyota,Used,4878.57,1541.66,0
K9723306,1/22/2020,11/29/2019,TOYOTA,CAMR,2020,22193,Riverside Toyota,Used,14499,2222.11,2103.82
K9762190,1/22/2020,11/27/2019,TOYOTA,COROL,2020,49829,Riverside Toyota,Used,5547.12,1394.81,0
N5333485,1/22/2020,11/17/2019,CADILLAC,CTS,2020,46454,Riverside Toyota,Used,15500,-2218.79,648.56
T9823389,1/22/2020,12/20/2019,TOYOTA,COROL,2020,45757,Riverside Toyota,Used,15726.73,-354.86,892.5
T5563905,1/22/2020,12/31/2019,TOYOTA,RAV4HY,2020,47196,Riverside Toyota,Used,29416.05,746.61,1300
T1222652,1/22/2020,1/2/2020,HYUNDAI,SANTFE,2020,31799,Riverside Toyota,Used,6999,836.11,1810
L3066467,1/22/2020,12/29/2019,TOYOTA,RAV4,2020,45483,Riverside Toyota,Used,10900,667.92,0
M3524414,1/22/2020,12/8/2019,TOYOTA,HIGHLN,2020,46396,Riverside Toyota,Used,27749,310,2501.52
L3341742,1/21/2020,11/8/2019,CHEVROLET,SILV15,2020,31284,Riverside Toyota,Used,10266,736.14,364.03
N2328187,1/21/2020,12/19/2019,BMW,X5X35D,2020,69986,Riverside Toyota,Used,14688,478.46,887.9
N7902464,1/21/2020,11/24/2019,TOYOTA,TACO,2020,49107,Riverside Toyota,Used,37959.74,-1330.25,4805.38
N6489479,1/21/2020,12/6/2019,TOYOTA,COROL,2020,24130,Riverside Toyota,Used,16998,580.35,1148.8
T1185195,1/21/2020,12/24/2019,BMW,330I,2020,51848,Riverside Toyota,Used,20359,-3193.58,0
T3674607,1/21/2020,12/18/2019,TOYOTA,CAMR,2020,27379,Riverside Toyota,Used,16100,-1505.19,1228.9
S4524533,1/21/2020,12/18/2019,HONDA,ACCO,2020,53806,Riverside Toyota,Used,4514.11,619.94,0
M3548466,1/20/2020,12/6/2019,HONDA,ACCO,2020,59378,Riverside Toyota,Used,7959.74,563.1,0
K7416112,1/20/2020,11/20/2019,TOYOTA,HIGHLN,2020,29689,Riverside Toyota,Used,27551.97,277.93,1837.73
S8891595,1/20/2020,12/19/2019,TOYOTA,CAMR,2020,56450,Riverside Toyota,Used,17394,801.16,2329.47
M2316283,1/20/2020,11/11/2019,TOYOTA,PRIUS,2020,48191,Riverside Toyota,Used,23999,2868.56,357.7
S3383215,1/20/2020,11/30/2019,TOYOTA,TUND,2020,54330,Riverside Toyota,Used,46309.25,-1235.75,0
K3747400,1/20/2020,11/23/2019,TOYOTA,SIENNA,2020,70451,Riverside Toyota,Used,26499,-343.28,2206.71
K1345592,1/20/2020,11/13/2019,HONDA,ACCO,2020,38319,Riverside Toyota,Used,13572.36,2285.94,0
M7126941,1/20/2020,11/10/2019,TOYOTA,CAMR,2020,30693,Riverside Toyota,Used,15999,-1854.97,1265
K3752865,1/20/2020,11/30/2019,TOYOTA,SIENNA,2020,28657,Riverside Toyota,Used,14699,-508.7,887.93
M1007712,1/20/2020,12/28/2019,TOYOTA,CAMR,2020,29762,Riverside Toyota,Used,19489,1643.66,2747.68
N8014578,1/19/2020,12/1/2019,HONDA,CIVI,2020,40843,Riverside Toyota,Used,17799,1120.63,2516.72
L6348816,1/19/2020,11/24/2019,HONDA,HRV,2020,47117,Riverside Toyota,Used,13299,-1131.52,0
L7738033,1/19/2020,12/8/2019,LINC,MKC,2020,46150,Riverside Toyota,Used,19200,2142.31,205
N6562703,1/19/2020,11/22/2019,LEXUS,RX350,2020,54407,Riverside Toyota,Used,13199,1552.6,1954
T5611317,1/19/2020,11/16/2019,TOYOTA,PRIUS,2020,42195,Riverside Toyota,Used,13099,1467.13,0
N8914835,1/19/2020,12/16/2019,TOYOTA,COROL,2020,63803,Riverside Toyota,Used,16999,902.51,2661.88
K7860493,1/19/2020,11/18/2019,TOYOTA,COROL,2020,38030,Riverside Toyota,Used,8209.74,629.38,0
L3639615,1/19/2020,12/2/2019,TOYOTA,SIENNA,2020,82802,Riverside Toyota,Used,14949,738.42,0
S8064038,1/19/2020,11/25/2019,CHEVROLET,EQUIN,2020,51385,Riverside Toyota,Used,8445.17,2217.12,0
S2351024,1/18/2020,12/17/2019,KIA,SORENT,2020,29142,Riverside Toyota,Used,19013.56,1775.18,0
K2094599,1/18/2020,11/28/2019,MERCEDES-BENZ,E350W,2020,25936,Riverside Toyota,Used,15000,-539.37,1293
N7477602,1/18/2020,12/23/2019,TOYOTA,COROL,2020,49237,Riverside Toyota,Used,16229,253.66,456.78
T1047902,1/18/2020,11/9/2019,HONDA,HRV,2020,38648,Riverside Toyota,Used,18396.63,-2106.68,367.65
M9803594,1/18/2020,12/8/2019,TOYOTA,TACO,2020,52710,Riverside Toyota,Used,27313,1880.4,2621.9
N6618469,1/18/2020,12/2/2019,TOYOTA,COROL,2020,49098,Riverside Toyota,Used,13800,463.66,1731.59
L4842070,1/18/2020,12/28/2019,FORD,EXPL,2020,40907,Riverside Toyota,Used,33399,-3615.42,2510.92
K7413516,1/18/2020,11/18/2019,TOYOTA,CAMR,2020,29298,Riverside Toyota,Used,9499,3072.66,1775.24
L6053228,1/18/2020,11/15/2019,TOYOTA,HIGHLN,2020,19277,Riverside Toyota,Used,27000,-1134.47,0
N3226748,1/18/2020,11/7/2019,JEEP,WRAN,2020,35302,Riverside Toyota,Used,14755.85,-3530.99,0
M8935746,1/18/2020,12/24/2019,TOYOTA,COROL,2020,54845,Riverside Toyota,Used,13856.73,-622.19,0
T8710103,1/18/2020,12/2/2019,HYUNDAI,SANTFE,2020,45211,Riverside Toyota,Used,24499,1187.66,200
M1560912,1/18/2020,12/2/2019,TOYOTA,AVAL,2020,23313,Riverside Toyota,Used,26406.34,1172.55,0
T4852825,1/18/2020,11/16/2019,HYUNDAI,SONA,2020,44597,Riverside Toyota,Used,6794.69,-283.83,0
T3895949,1/18/2020,11/16/2019,NISSAN,ALTIMA,2020,47779,Riverside Toyota,Used,3979.17,50.76,0
N5917008,1/18/2020,12/10/2019,KIA,OPTIMA,2020,28742,Riverside Toyota,Used,14999,-631.94,1963.26
N6386083,1/18/2020,11/30/2019,TOYOTA,HIGHLN,2020,44305,Riverside Toyota,Used,28099,176.91,1849
L5374049,1/18/2020,12/19/2019,TOYOTA,HIGHLN,2020,42873,Riverside Toyota,Used,33863,1759.21,3613.6
S2679386,1/18/2020,11/5/2019,TOYOTA,CAMR,2020,24855,Riverside Toyota,Used,17371,-1371.47,1856.7
K3897633,1/17/2020,12/1/2019,HYUNDAI,SONA,2020,47366,Riverside Toyota,Used,8863.62,-1694.38,637.84
T6200558,1/17/2020,12/4/2019,TOYOTA,CAMR,2020,50411,Riverside Toyota,Used,12399,1677.68,393.72
M5046240,1/17/2020,11/20/2019,TOYOTA,FJCR,2020,58245,Riverside Toyota,Used,8750,353.37,0
L8002710,1/17/2020,11/26/2019,TOYOTA,CAMR,2020,57807,Riverside Toyota,Used,22199,2177.51,1800
S8897387,1/17/2020,12/28/2019,TOYOTA,HIGHLN,2020,21334,Riverside Toyota,Used,26944.2,1930.4,2804.48
N7119417,1/16/2020,12/1/2019,TOYOTA,CAMR,2020,27932,Riverside Toyota,Used,5500,255.85,0
S6455788,1/16/2020,11/6/2019,TOYOTA,CAMR,2020,49725,Riverside Toyota,Used,17699,-779.72,0
L5480968,1/16/2020,12/15/2019,TOYOTA,4RUN,2020,49706,Riverside Toyota,Used,24562.64,290,0
L6089851,1/16/2020,11/17/2019,TOYOTA,RAV4,2020,49725,Riverside Toyota,Used,19561.68,540.19,880.31
T8121220,1/16/2020,12/25/2019,TOYOTA,CAMR,2020,99790,Riverside Toyota,Used,10241.24,717.17,0
M3153327,1/15/2020,11/18/2019,HYUNDAI,ELAN,2020,50563,Riverside Toyota,Used,4076.24,663.59,0
K4380773,1/15/2020,12/21/2019,TOYOTA,CAMR,2020,59033,Riverside Toyota,Used,14999,-39.5,1193
S3180974,1/15/2020,12/19/2019,HONDA,CIVI,2020,56310,Riverside Toyota,Used,13110,-1106.66,635.62
N4761770,1/15/2020,11/30/2019,TOYOTA,COROL,2020,51770,Riverside Toyota,Used,11999,430.16,2767.26
N5286035,1/15/2020,12/18/2019,HONDA,ACCO,2020,37270,Riverside Toyota,Used,14000,1469.68,0
N7613890,1/15/2020,11/20/2019,TOYOTA,COROL,2020,53384,Riverside Toyota,Used,15241.29,544.8,0
L4979749,1/15/2020,11/24/2019,TOYOTA,COROL,2020,30407,Riverside Toyota,Used,15299,-665.42,2489
L8153761,1/14/2020,11/5/2019,TOYOTA,TUND,2020,38447,Riverside Toyota,Used,6032.55,1230.19,0
S6898678,1/14/2020,11/14/2019,FORD,MUST,2020,34719,Riverside Toyota,Used,10700,-42.85,0
M5991178,1/14/2020,11/12/2019,TOYOTA,SIENNA,2020,43228,Riverside Toyota,Used,25999,136.51,4078.02
M4396058,1/13/2020,12/1/2019,DODGE,CARAG,2020,76719,Riverside Toyota,Used,5500,1700.32,0
K9897787,1/13/2020,12/10/2019,TOYOTA,PRIUS,2020,13991,Riverside Toyota,Used,7745,-170,116.44
K6219228,1/13/2020,11/1/2019,TOYOTA,PRIUS,2020,52293,Riverside Toyota,Used,1327.47,-592.53,0
M4722521,1/13/2020,11/23/2019,TOYOTA,CAMR,2020,17809,Riverside Toyota,Used,10872.36,2055.59,1626.91
N1870170,1/13/2020,11/23/2019,JEEP,CHER,2020,34921,Riverside Toyota,Used,22300,-916.38,227
K9412005,1/13/2020,12/1/2019,TOYOTA,TUND,2020,58334,Riverside Toyota,Used,20499,1620.91,0
M1867011,1/12/2020,11/13/2019,HYUNDAI,SONAHY,2020,42964,Riverside Toyota,Used,10399,-78.28,1252.14
K4741947,1/12/2020,11/2/2019,TOYOTA,IM,2020,25833,Riverside Toyota,Used,15241.29,1135.95,0
K3680091,1/14/2020,11/7/2019,TOYOTA,SIENNA,2020,31270,Riverside Toyota,Used,26999,514.07,0
T3449193,1/11/2020,11/4/2019,TOYOTA,HIGHLN,2020,52193,Riverside Toyota,Used,29975,218,0
L6381164,1/11/2020,11/1/2019,MAZDA,CX5,2020,31044,Riverside Toyota,Used,16399,3813.31,3547.23
T1847675,1/11/2020,12/11/2019,MAZDA,MAZDA3,2020,45246,Riverside Toyota,Used,14784.98,-231.56,0
S5177049,1/11/2020,11/14/2019,TOYOTA,TACO,2020,42683,Riverside Toyota,Used,23499,2305.21,2140.63
K2884005,1/11/2020,12/21/2019,TOYOTA,TACO,2020,32225,Riverside Toyota,Used,26399,1629.55,0
T8719074,1/11/2020,12/20/2019,FORD,F150,2020,74159,Riverside Toyota,Used,15241.29,-129.79,0
